,gt_vols,best_dice_ss2,best_avd_ss2,best_dice_dsorted_ss2,GED^2_ss2,sUEO_ss2,best_dice_ss3,best_avd_ss3,best_dice_dsorted_ss3,GED^2_ss3,sUEO_ss3,best_dice_ss5,best_avd_ss5,best_dice_dsorted_ss5,GED^2_ss5,sUEO_ss5,best_dice_ss7,best_avd_ss7,best_dice_dsorted_ss7,GED^2_ss7,sUEO_ss7,best_dice_ss10,best_avd_ss10,best_dice_dsorted_ss10,GED^2_ss10,sUEO_ss10,model_name
0,3986.0,0.76667094,3.9889615,0.7892120480537415,0.5171056,0.46513826,0.7774613,2.584044,0.7973023653030396,0.49173924,0.45987844,0.78073794,0.5770196,0.8033462166786194,0.51021284,0.46243688,0.7821634,0.8529855,0.8081185221672058,0.5069794,0.45707408,0.7808925,0.42649275,0.8146200776100159,0.49976048,0.4513078,ens0_cv5
1,1648.0,0.5994695,16.99029,0.6153319478034973,0.8465651,0.41531324,0.5890411,10.376213,0.6272352337837219,0.8383509,0.42104256,0.6049267,5.4004855,0.666435718536377,0.8084092,0.443961,0.61959827,0.6067961,0.684085488319397,0.8046084,0.44229192,0.607604,4.2475724,0.68813556432724,0.8077622,0.42678386,ens0_cv5
2,5864.0,0.80147684,19.866985,0.8051874041557312,0.4682442,0.50572073,0.80124694,19.474762,0.8097831010818481,0.48140574,0.5025667,0.8041391,17.07026,0.8146600723266602,0.5056929,0.51505715,0.8031979,16.558664,0.8153349757194519,0.50932175,0.50801283,0.82274544,8.066166,0.8386859893798828,0.48313418,0.49759665,ens0_cv5
3,5861.0,0.74479836,14.6732645,0.7564610242843628,0.5047596,0.5205792,0.7478484,13.649549,0.7663711905479431,0.50768375,0.5075989,0.7708669,9.076949,0.8003003001213074,0.5201441,0.5222392,0.781038,7.9337997,0.8122597932815552,0.52088374,0.5124755,0.79123557,3.7706873,0.8257589936256409,0.49858478,0.47727364,ens0_cv5
4,12240.0,0.70084804,32.369278,0.7019471526145935,0.66640735,0.540007,0.7086163,31.601307,0.7102730870246887,0.6879534,0.54030436,0.70784676,30.702614,0.7139805555343628,0.71152556,0.52487534,0.71926975,29.052288,0.7253514528274536,0.6995484,0.5229502,0.75312686,22.982027,0.7669364213943481,0.6608143,0.55831164,ens0_cv5
5,20444.0,0.892103,10.276854,0.8947286605834961,0.29453295,0.45720947,0.8923315,10.237722,0.8955493569374084,0.3073605,0.46913838,0.89466816,8.907259,0.8997734785079956,0.31000766,0.46177325,0.894621,8.853454,0.900919497013092,0.31852782,0.46527797,0.89578557,8.031696,0.9022133946418762,0.31581298,0.46980175,ens0_cv5
6,6033.0,0.7426369,6.166086,0.7527191042900085,0.5627286,0.47740734,0.7443609,5.1715565,0.7682119011878967,0.5605062,0.48076123,0.7366083,3.4642797,0.7748972177505493,0.57266897,0.4791179,0.73515534,3.4311287,0.7786397337913513,0.58075094,0.4722086,0.7426365,4.9726505,0.7849199771881104,0.57377696,0.47367543,ens0_cv5
7,5462.0,0.8247756,3.9545953,0.833672285079956,0.41592795,0.48604473,0.82205963,5.162944,0.8404852151870728,0.39666274,0.4797749,0.8251137,1.2083485,0.8504241704940796,0.39254737,0.4782397,0.82755405,1.2632735,0.857887864112854,0.39209244,0.47376686,0.8270122,1.5195899,0.8618141412734985,0.40404713,0.48058727,ens0_cv5
8,381.0,0.29120323,59.58005,0.33984375,1.1306188,0.42413864,0.33043477,41.469814,0.397927463054657,1.0768237,0.40299737,0.306,2.624672,0.41648590564727783,1.0976787,0.39232367,0.32286996,3.937008,0.4284103810787201,1.1105005,0.3879893,0.32867134,5.249344,0.4459308683872223,1.1117381,0.38422555,ens0_cv5
9,4850.0,0.8252281,5.628866,0.8354378938674927,0.38800645,0.4702287,0.82350594,1.0721649,0.8387688398361206,0.39244825,0.45042297,0.8212551,2.6804123,0.8464644551277161,0.3901734,0.4473564,0.8302738,1.0515463,0.8552181720733643,0.38599685,0.43255994,0.8287003,1.0309278,0.8591870665550232,0.38365036,0.4293436,ens0_cv5
10,543.0,0.644358,36.64825,0.6605504751205444,0.73106956,0.40955108,0.6272945,30.755064,0.667682945728302,0.76659805,0.41907543,0.6436444,11.786372,0.6911412477493286,0.73927534,0.39900795,0.64576805,4.051565,0.70243901014328,0.74332225,0.38865766,0.64442635,2.946593,0.7115858793258667,0.753519,0.39633074,ens0_cv5
11,8866.0,0.82166314,17.978794,0.8261848092079163,0.43333894,0.47489074,0.82328993,17.132868,0.8286639451980591,0.45716217,0.48878446,0.8332829,13.749154,0.8394365906715393,0.45408347,0.48503205,0.8316114,13.32055,0.840275228023529,0.46393958,0.48936227,0.8330035,11.899391,0.8440154194831848,0.46212435,0.48090068,ens0_cv5
12,7121.0,0.86654603,1.8255863,0.8751381039619446,0.30431277,0.45271787,0.87233,0.51958996,0.8879994750022888,0.3001028,0.44085833,0.8704263,0.042128917,0.8922440409660339,0.30271596,0.43205985,0.87374085,1.1234378,0.8979028463363647,0.30239895,0.42903677,0.8797614,0.12638675,0.89811110496521,0.30139732,0.42231727,ens0_cv5
13,25122.0,0.77806216,4.605525,0.8075988292694092,0.4994235,0.49073902,0.78983,5.3936787,0.8131106495857239,0.5012515,0.50080806,0.8006209,3.678051,0.8453517556190491,0.46013612,0.49499276,0.8028807,1.0349494,0.8490577936172485,0.46662703,0.4917786,0.8074746,1.4529098,0.8525094985961914,0.46657512,0.48456803,ens0_cv5
14,10546.0,0.74651265,41.31424,0.7582059502601624,0.6257333,0.5252124,0.7596142,33.00778,0.7683893442153931,0.60873944,0.5231573,0.7558868,31.547508,0.7713590860366821,0.63509274,0.52388656,0.757377,31.367344,0.7748496532440186,0.6441082,0.52802235,0.7582467,30.826855,0.7759218215942383,0.65301657,0.52693343,ens0_cv5
15,317.0,0.34104046,236.59305,0.37815698981285095,1.0934705,0.4447363,0.38038886,173.18613,0.43665337562561035,1.0727172,0.42732936,0.38180196,153.62776,0.4527081549167633,1.0890483,0.41518664,0.38674033,142.58676,0.47187238931655884,1.084282,0.41130555,0.41317898,118.61199,0.5004452466964722,1.0709288,0.40373212,ens0_cv5
16,9040.0,0.78303427,10.210177,0.7921780347824097,0.4941966,0.4873607,0.79933274,5.5641594,0.804845929145813,0.48414025,0.47554076,0.7980743,2.2013276,0.8114358186721802,0.4917948,0.47935694,0.7971442,1.5818585,0.8164966106414795,0.49927935,0.4746603,0.7963387,0.09955752,0.8184582591056824,0.5019421,0.47414908,ens0_cv5
17,11163.0,0.84032625,13.078922,0.8521103858947754,0.39177722,0.5066488,0.8417329,5.1240706,0.8605775237083435,0.38185188,0.51709974,0.84192,3.6101406,0.8643847703933716,0.38946822,0.5175154,0.85071415,3.3413959,0.8729356527328491,0.38561746,0.51455027,0.8498565,2.3380811,0.8764785528182983,0.3850777,0.5178284,ens0_cv5
18,14958.0,0.8125183,28.145473,0.8171380162239075,0.4913032,0.5125741,0.80931205,17.636047,0.8261607885360718,0.4699591,0.5033289,0.81630206,15.991444,0.8350374698638916,0.4756718,0.50995445,0.813785,15.363017,0.8384393453598022,0.47746903,0.5086778,0.8131875,13.17021,0.8414409160614014,0.48722434,0.5148781,ens0_cv5
19,981.0,0.59903383,53.21101,0.6089011430740356,0.87567496,0.43271336,0.60601,44.24057,0.6228847503662109,0.8766203,0.4381402,0.6188455,25.484198,0.6555555462837219,0.8462252,0.44320482,0.62119895,24.87258,0.6701030731201172,0.84872967,0.44747308,0.6377325,20.285423,0.6768425703048706,0.84681207,0.44866744,ens0_cv5
20,1171.0,0.60933036,27.92485,0.6497567892074585,0.67861104,0.41731012,0.6225459,7.5149446,0.6857346892356873,0.6693382,0.4143027,0.6213735,0.34158838,0.6999287009239197,0.67690563,0.3934597,0.626742,0.34158838,0.7112396359443665,0.6868903,0.38963655,0.62930405,5.9777966,0.7194892764091492,0.6931432,0.3932587,ens0_cv5
21,626.0,0.46222886,13.578275,0.48928308486938477,0.9458956,0.38988185,0.461901,3.3546324,0.509225070476532,0.92451155,0.40592512,0.45260346,10.383387,0.5293669104576111,0.91806185,0.39067224,0.44396552,1.7571886,0.5432287454605103,0.90949005,0.37647912,0.44048378,1.2779553,0.5598159432411194,0.9107988,0.37778112,ens0_cv5
22,292.0,0.2947254,429.7945,0.2947253882884979,1.2932656,0.45472574,0.30584192,397.94522,0.3083952069282532,1.2826762,0.45500997,0.4,248.63014,0.40303030610084534,1.2111944,0.46333215,0.40091813,247.60275,0.4039483666419983,1.224198,0.45981485,0.40155038,241.78082,0.4055299460887909,1.2311318,0.46034774,ens0_cv5
23,8370.0,0.7450636,17.825567,0.7584657073020935,0.57001483,0.5128811,0.748792,15.113502,0.762813150882721,0.5720222,0.5037073,0.7566642,9.307049,0.7761517763137817,0.56807387,0.5021858,0.75802946,9.056153,0.7850620746612549,0.5699784,0.505629,0.76525444,7.550777,0.791513204574585,0.5645058,0.50779736,ens0_cv5
24,11123.0,0.8170873,1.6182685,0.8275176286697388,0.41042256,0.45731583,0.8191571,1.3935089,0.8335912823677063,0.40962481,0.46512526,0.82175964,0.6473074,0.8376196622848511,0.4165241,0.45055622,0.82219857,2.1217299,0.8400495052337646,0.42168105,0.45091918,0.82271105,0.5933651,0.8414985537528992,0.420858,0.45395708,ens0_cv5
25,8187.0,0.7638236,44.31416,0.7657495737075806,0.6080248,0.5071579,0.7827988,34.615852,0.783622682094574,0.5763146,0.5085806,0.7913455,29.766703,0.7962040305137634,0.5674389,0.5060311,0.79536057,27.47038,0.8021069169044495,0.55857545,0.5041379,0.7962913,25.271774,0.8053407073020935,0.5645175,0.50511456,ens0_cv5
26,5489.0,0.6682106,67.4622,0.6757580041885376,0.7505313,0.47050083,0.67830044,64.12826,0.689170777797699,0.7557138,0.47033143,0.67346066,55.63855,0.6958195567131042,0.76707286,0.4729483,0.6741314,54.09,0.7034787535667419,0.7749644,0.47585303,0.6842651,52.268173,0.7131348252296448,0.77649975,0.47972825,ens0_cv5
27,1492.0,0.5009831,29.55764,0.5161290168762207,0.9290359,0.3685952,0.5015625,28.418232,0.5205479264259338,0.947239,0.37059987,0.4925996,23.39142,0.5322449207305908,0.9435836,0.36141017,0.49571317,14.745309,0.5396952629089355,0.9437972,0.3738798,0.48852587,5.227882,0.5469454526901245,0.93914956,0.38978127,ens0_cv5
28,654.0,0.52741516,14.220184,0.5438165664672852,0.77925766,0.36993226,0.522829,11.46789,0.5566502213478088,0.82896006,0.37906408,0.49913344,8.715596,0.5762144327163696,0.838005,0.37865928,0.5105008,0.15290521,0.6175732016563416,0.84187263,0.37157586,0.5193662,3.9755352,0.6241496801376343,0.8452201,0.36601305,ens0_cv5
29,743.0,0.46195653,1.8842529,0.4743504226207733,0.92576665,0.4118326,0.46618706,12.920592,0.49515190720558167,0.9259997,0.397702,0.44873503,2.153432,0.506278932094574,0.9538007,0.41587788,0.45274213,2.153432,0.5334198474884033,0.96888894,0.42261848,0.4372948,2.5572007,0.5359223484992981,0.98915654,0.4173294,ens0_cv5
30,2965.0,0.6058027,9.881956,0.623615562915802,0.77544236,0.47665948,0.61471367,7.6897135,0.640728771686554,0.74769986,0.45991504,0.60183823,5.767285,0.6517669558525085,0.75898176,0.45622247,0.6190561,3.1365936,0.663799524307251,0.7609941,0.46143365,0.62042457,2.1922429,0.6669170260429382,0.76841074,0.47003826,ens0_cv5
31,7614.0,0.78494287,1.8124508,0.797524631023407,0.50511044,0.49473614,0.7861774,0.525348,0.8008071780204773,0.49055055,0.4829959,0.78655744,2.3640661,0.8043155074119568,0.49994928,0.5065699,0.7882761,2.4691358,0.8091681599617004,0.5059233,0.50757587,0.7861401,0.879958,0.8211500644683838,0.50478286,0.5202364,ens0_cv5
32,736.0,0.4375436,117.527176,0.4835079610347748,1.017216,0.45759848,0.44759208,87.771736,0.5233487486839294,1.0154736,0.44959807,0.50020736,63.04348,0.5427179932594299,0.99129695,0.44208413,0.4910753,62.907608,0.5450530052185059,1.0005422,0.43761563,0.4944617,62.228264,0.5494699478149414,1.0083593,0.43796253,ens0_cv5
33,1004.0,0.63338417,61.354584,0.6367069482803345,0.81709266,0.46759868,0.66086954,40.53785,0.6816359162330627,0.75766623,0.44766507,0.67480665,29.780876,0.6968698501586914,0.7310783,0.4523289,0.67455137,29.780876,0.6961145401000977,0.7472296,0.43907765,0.68179977,25.0,0.7178440093994141,0.73227465,0.4310769,ens0_cv5
34,7532.0,0.79684,4.1157727,0.8063536882400513,0.4733895,0.5154198,0.798882,0.5177908,0.8167683482170105,0.48034576,0.5209776,0.7922982,3.1200213,0.8191404938697815,0.48651633,0.5203252,0.7925991,2.708444,0.8214003443717957,0.49493405,0.5223301,0.79767716,0.9426448,0.8262130618095398,0.4980479,0.5241489,ens0_cv5
35,1964.0,0.6746424,4.226069,0.6863875389099121,0.70403975,0.48484597,0.66990787,1.0183299,0.6940222978591919,0.733321,0.4906402,0.668228,3.7169044,0.7058823704719543,0.71062124,0.48751512,0.6724956,2.240326,0.7110995650291443,0.71687376,0.48817986,0.6831832,0.66191447,0.7149857878684998,0.71428245,0.48170835,ens0_cv5
36,511.0,0.6607539,23.091976,0.7028753757476807,0.5882708,0.31849423,0.68262225,11.937378,0.7523910999298096,0.5769633,0.29429162,0.66859347,3.1311154,0.769565224647522,0.59257627,0.32962376,0.65513265,0.39138943,0.771519660949707,0.5988595,0.31222865,0.64761907,0.97847354,0.7713097929954529,0.6022203,0.31351975,ens0_cv5
37,1045.0,0.5328808,25.55024,0.5608766078948975,0.88112855,0.41958836,0.52230865,8.995215,0.5806451439857483,0.8469372,0.4236647,0.54708946,2.200957,0.6153846383094788,0.82277066,0.42568487,0.55145013,4.593302,0.6171977519989014,0.82310665,0.41260847,0.5557192,5.07177,0.6262991428375244,0.83756226,0.4071446,ens0_cv5
38,1008.0,0.6411324,38.29365,0.6441237330436707,0.76534367,0.38639578,0.6388084,11.309524,0.6541256904602051,0.7111465,0.4039881,0.6300971,4.3650794,0.6776344776153564,0.7307608,0.41709375,0.63385826,1.5873017,0.6819201707839966,0.748223,0.41988942,0.6331856,1.4880953,0.6817777752876282,0.7620417,0.41494334,ens0_cv5
39,11748.0,0.7424828,19.390533,0.7491785287857056,0.6275675,0.48889855,0.7434892,17.620022,0.7558732628822327,0.63875616,0.49458688,0.7609837,15.168539,0.7696413397789001,0.64170027,0.49707454,0.7592338,14.249234,0.7722716927528381,0.64678174,0.49640784,0.7657584,12.563841,0.7804810404777527,0.64325094,0.501449,ens0_cv5
40,5432.0,0.7882904,0.60751104,0.8011463284492493,0.46229523,0.49239463,0.7904181,2.117084,0.8083480596542358,0.4654244,0.4891813,0.8044152,1.8041236,0.8261153101921082,0.4512079,0.47487217,0.81278706,0.31296024,0.8352595567703247,0.44400176,0.4707299,0.8010723,0.8468335,0.8406437039375305,0.45047063,0.47322217,ens0_cv5
41,5189.0,0.8081767,1.079206,0.8218960762023926,0.426202,0.47695377,0.8079026,0.9443053,0.8315158486366272,0.43941537,0.47698212,0.8048036,4.220466,0.8394866585731506,0.44738907,0.47833177,0.80991095,0.88649064,0.8410772681236267,0.4562771,0.47629714,0.8082059,0.8479476,0.8476330041885376,0.44518787,0.4700091,ens0_cv5
42,15617.0,0.8791457,9.867452,0.8827192187309265,0.33667547,0.48966348,0.8858704,7.4213996,0.889311671257019,0.32280263,0.48935857,0.89230865,3.470577,0.897040069103241,0.31406152,0.4903839,0.8916331,3.2656722,0.8981124758720398,0.32105017,0.48994002,0.8883054,2.4268427,0.8991857767105103,0.32138905,0.4895234,ens0_cv5
